航班号,起飞时间,到达时间,出发机场,到达机场,航空公司,机型,价格
HO5526,2025-11-13 13:00:00,2025-11-13 15:00:00,大兴国际机场,浦东国际机场,吉祥航空,空客321(中),¥1990
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥3260
MF3573,2025-11-13 17:30:00,2025-11-13 19:45:00,首都国际机场,虹桥国际机场,厦门航空,空客330(大),¥3070
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),¥1040
3U5184,2025-11-13 17:00:00,2025-11-13 19:15:00,首都国际机场,虹桥国际机场,四川航空,空客330(大),¥1190
MU5127,2025-11-13 21:00:00,2025-11-13 23:15:00,虹桥国际机场,首都国际机场,东方航空,空客330(大),¥1410
MU5186,2025-11-13 07:30:00,2025-11-13 09:45:00,大兴国际机场,浦东国际机场,东方航空,空客330(大),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1560
HU7603,2025-11-13 08:25:00,2025-11-13 10:35:00,首都国际机场,虹桥国际机场,海航｜海南航空,空客330(大),¥1420
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2060
HO7296,2025-11-13 09:25:00,2025-11-13 11:30:00,大兴国际机场,浦东国际机场,吉祥航空,波音737(中),¥2551
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1235
SC5396,2025-11-13 08:30:00,2025-11-13 10:55:00,首都国际机场,虹桥国际机场,山东航空,空客350(大),¥1890
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2551
KN6504,2025-11-13 07:20:00,2025-11-13 09:25:00,大兴国际机场,虹桥国际机场,中国联合航空,空客320(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MF7705,2025-11-13 11:55:00,2025-11-13 14:10:00,大兴国际机场,浦东国际机场,厦门航空,空客321(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2430
3U5166,2025-11-13 08:00:00,2025-11-13 10:15:00,首都国际机场,虹桥国际机场,四川航空,空客330-300(大),¥1250
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2270
MU5158,2025-11-13 14:30:00,2025-11-13 16:40:00,首都国际机场,浦东国际机场,东方航空,空客 320-NEO(中),¥1453
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1240
MU5100,2025-11-13 07:00:00,2025-11-13 09:15:00,首都国际机场,浦东国际机场,东方航空,空客 320-NEO(中),¥2095
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1710
HO5740,2025-11-13 08:30:00,2025-11-13 10:50:00,首都国际机场,浦东国际机场,吉祥航空,空客330-300(大),¥2551
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1619
MU5106,2025-11-13 10:00:00,2025-11-13 12:20:00,首都国际机场,虹桥国际机场,东方航空,空客330(大),¥2000
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
HO5375,2025-11-13 09:00:00,2025-11-13 11:10:00,首都国际机场,虹桥国际机场,吉祥航空,空客330(大),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2170
MF3522,2025-11-13 10:00:00,2025-11-13 12:20:00,首都国际机场,虹桥国际机场,厦门航空,空客330(大),¥1920
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1770
MF3528,2025-11-13 13:00:00,2025-11-13 15:05:00,首都国际机场,虹桥国际机场,厦门航空,空客330(大),¥2551
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
CZ1959,2025-11-13 15:50:00,2025-11-13 18:05:00,大兴国际机场,虹桥国际机场,南方航空,空客 320-NEO(中),¥1910
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1325
MF3592,2025-11-13 07:30:00,2025-11-13 09:45:00,大兴国际机场,浦东国际机场,厦门航空,空客330(大),¥2250
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2040
CA1533,2025-11-13 12:30:00,2025-11-13 15:00:00,首都国际机场,虹桥国际机场,中国国航,波音777(大),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1370
MU5168,2025-11-13 08:05:00,2025-11-13 10:15:00,大兴国际机场,虹桥国际机场,东方航空,空客321(中),¥2300
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1340
CA8540,2025-11-13 08:15:00,2025-11-13 10:20:00,首都国际机场,浦东国际机场,中国国航,空客321(中),¥3070
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
KN5955,2025-11-13 17:25:00,2025-11-13 19:35:00,大兴国际机场,虹桥国际机场,中国联合航空,波音737(中),¥2737
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),¥2795
CZ8879,2025-11-13 09:00:00,2025-11-13 11:10:00,大兴国际机场,虹桥国际机场,南方航空,空客350(大),¥2010
CZ8888,2025-11-13 19:50:00,2025-11-13 22:10:00,虹桥国际机场,大兴国际机场,南方航空,空客350(大),¥1990
MU5110,2025-11-13 12:00:00,2025-11-13 14:15:00,首都国际机场,虹桥国际机场,东方航空,波音777(大),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1180
MU5152,2025-11-13 08:30:00,2025-11-13 10:50:00,首都国际机场,浦东国际机场,东方航空,空客321-200(中),¥1130
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
CZ1955,2025-11-13 13:00:00,2025-11-13 15:00:00,大兴国际机场,浦东国际机场,南方航空,空客321(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2675
3U5194,2025-11-13 13:30:00,2025-11-13 15:35:00,首都国际机场,虹桥国际机场,四川航空,空客321-200(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1490
SC5400,2025-11-13 10:30:00,2025-11-13 12:45:00,首都国际机场,虹桥国际机场,山东航空,空客330(大),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1535
MU8229,2025-11-13 17:25:00,2025-11-13 19:35:00,大兴国际机场,虹桥国际机场,东方航空,波音737(中),¥1790
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),¥2141
3U2081,2025-11-13 09:00:00,2025-11-13 11:10:00,大兴国际机场,虹桥国际机场,四川航空,空客350(大),¥1390
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2551
KN6512,2025-11-13 08:05:00,2025-11-13 10:15:00,大兴国际机场,虹桥国际机场,中国联合航空,空客321(中),¥2070
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MU5116,2025-11-13 15:00:00,2025-11-13 17:15:00,首都国际机场,虹桥国际机场,东方航空,空客330(大),¥1360
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1520
3U5176,2025-11-13 13:00:00,2025-11-13 15:05:00,首都国际机场,虹桥国际机场,四川航空,空客330(大),¥2737
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1700
MU5102,2025-11-13 08:00:00,2025-11-13 10:15:00,首都国际机场,虹桥国际机场,东方航空,空客330-300(大),¥1445
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
HO1258,2025-11-13 11:55:00,2025-11-13 14:10:00,大兴国际机场,浦东国际机场,吉祥航空,空客321(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MU5160,2025-11-13 17:30:00,2025-11-13 19:45:00,首都国际机场,虹桥国际机场,东方航空,空客330(大),¥1780
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),¥1240
CA1509,2025-11-13 17:30:00,2025-11-13 20:00:00,首都国际机场,虹桥国际机场,中国国航,空客330(大),¥2740
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),¥2220
MF3532,2025-11-13 15:00:00,2025-11-13 17:15:00,首都国际机场,虹桥国际机场,厦门航空,空客330(大),¥2795
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
CA8680,2025-11-13 11:15:00,2025-11-13 13:05:00,大兴国际机场,浦东国际机场,中国国航,空客320(中),¥2795
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1700
MF3590,2025-11-13 15:50:00,2025-11-13 18:05:00,大兴国际机场,虹桥国际机场,厦门航空,空客 320-NEO(中),¥2551
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1440
3U5164,2025-11-13 07:00:00,2025-11-13 09:15:00,首都国际机场,浦东国际机场,四川航空,空客 320-NEO(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1250
HO5377,2025-11-13 17:00:00,2025-11-13 19:15:00,首都国际机场,虹桥国际机场,吉祥航空,空客330(大),¥2551
MU5127,2025-11-13 21:00:00,2025-11-13 23:15:00,虹桥国际机场,首都国际机场,东方航空,空客330(大),¥2740
3U5170,2025-11-13 10:00:00,2025-11-13 12:20:00,首都国际机场,虹桥国际机场,四川航空,空客330(大),¥2050
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1350
MF3526,2025-11-13 12:00:00,2025-11-13 14:15:00,首都国际机场,虹桥国际机场,厦门航空,波音777(大),¥1130
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
CA1515,2025-11-13 15:45:00,2025-11-13 17:55:00,首都国际机场,虹桥国际机场,中国国航,波音777(大),¥1700
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),¥1520
HU7607,2025-11-13 17:30:00,2025-11-13 19:40:00,首都国际机场,虹桥国际机场,海航｜海南航空,空客330-300(大),¥2795
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),¥2551
KN6536,2025-11-13 13:00:00,2025-11-13 15:00:00,大兴国际机场,浦东国际机场,中国联合航空,空客321(中),¥2737
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1560
CA1531,2025-11-13 10:30:00,2025-11-13 12:45:00,首都国际机场,虹桥国际机场,中国国航,空客330(大),¥2795
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1610
HU7613,2025-11-13 10:10:00,2025-11-13 12:35:00,首都国际机场,浦东国际机场,海航｜海南航空,波音738(中),¥1520
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2551
NS8561,2025-11-13 09:25:00,2025-11-13 11:30:00,大兴国际机场,浦东国际机场,河北航空,波音737(中),¥1570
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
SC5404,2025-11-13 11:30:00,2025-11-13 13:55:00,首都国际机场,虹桥国际机场,山东航空,波音747(大),¥2420
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1520
HO5363,2025-11-13 11:00:00,2025-11-13 13:20:00,首都国际机场,虹桥国际机场,吉祥航空,空客321-200(中),¥2551
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1490
MU5118,2025-11-13 16:00:00,2025-11-13 18:15:00,首都国际机场,虹桥国际机场,东方航空,空客330-300(大),¥1700
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),¥2737
SC5402,2025-11-13 10:55:00,2025-11-13 13:25:00,首都国际机场,虹桥国际机场,山东航空,空客330(大),¥1160
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2080
MU3747,2025-11-13 11:55:00,2025-11-13 14:10:00,大兴国际机场,浦东国际机场,东方航空,空客321(中),¥2040
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2160
MF3530,2025-11-13 14:00:00,2025-11-13 16:15:00,首都国际机场,虹桥国际机场,厦门航空,空客330-300(大),¥1202
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
CZ8887,2025-11-13 16:20:00,2025-11-13 18:35:00,大兴国际机场,虹桥国际机场,南方航空,空客350(大),¥2100
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),¥1060
MF3602,2025-11-13 13:00:00,2025-11-13 15:00:00,大兴国际机场,浦东国际机场,厦门航空,空客321(中),¥1565
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MU5184,2025-11-13 15:50:00,2025-11-13 18:05:00,大兴国际机场,虹桥国际机场,东方航空,空客 320-NEO(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2795
MU4706,2025-11-13 09:25:00,2025-11-13 11:30:00,大兴国际机场,浦东国际机场,东方航空,波音737(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MU5154,2025-11-13 11:30:00,2025-11-13 13:30:00,首都国际机场,浦东国际机场,东方航空,空客320(中),¥1710
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MF3518,2025-11-13 08:00:00,2025-11-13 10:15:00,首都国际机场,虹桥国际机场,厦门航空,空客330-300(大),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1670
CA1523,2025-11-13 10:55:00,2025-11-13 13:25:00,首都国际机场,虹桥国际机场,中国国航,空客330(大),¥1815
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1040
HU7611,2025-11-13 15:55:00,2025-11-13 18:15:00,首都国际机场,浦东国际机场,海航｜海南航空,波音738(中),¥1560
